Customer_ID,Customer_Credit_ID,Customer_Name,Contact_Name,Contact_Position,Last_Years_Sales,Address1,Address2,Address3,Postal_Code,Lat,Long,Email,Phone,Fax
14,14,Alley Cat Cycles,Mr. Rick Pratt,(Owner),298356.22,1842 St. Anne Place,Suite 618,Cardiff:South Glamorgan:Wales,01733,51.483333,-3.183333,Pratt@belgiumbike.com,508-287-8535,508-28-73694
15,15,The Bike Cellar,Mr. Christopher Carmine,(Sales Manager),30938.665,8404 Nelson Lane,Suite 2512,Mazatlan:Sinaloa:Mexico,22616,23.216667,-106.416667,Carmine@royalcycle.com,540-662-2540,540-662-1333
16,16,Hercules Mountain Bikes,Mr. James Sergent,(Sales Manager),18000,8586 St. Andrew Crescent,,Nottingham:Nottinghamshire:England,60187,52.9561,-1.1512,Sergent@biccm.com,815-756-1819,815-756-7443
17,17,Whistler Rentals,Mr. Will Castillo,(Owner),68000,4501 Third Street,Suite 913,São Paulo:São Paulo:Brazil,97051,-23.55,-46.633333,Castillo@brasiliaoutdoors.com,503-647-3363,503-647-5593
18,18,Bikes and Trikes,Mr. Ian Kelly,(Owner),12000,2793 Highland Boulevard,,Maidenhead:Berkshire:England,48335,51.5217,-0.7177,Kelly@rdjbikes.com,810-939-2133,810-939-9564
19,19,Changing Gears,Mr. David Baker,(Sales Agent),26705.65,1600 Hyde Crescent,,Lima:Lima:Peru,92750,-12.06,-77.0375,Baker@saveirosbike.com,714-450-7009,714-450-4103
20,20,Wheels and Stuff,Mr. Dan Simpson,(Sales Agent),25556.105,2530 Bute Avenue,,Bucharest:Bucharesti:Romania,34666,44.4325,26.103889,Simpson@outdoors.com,813-539-9862,813-539-1602
21,21,Uni-Cycle,Mr. Daryl Davidson,(Sales Manager),52428.1325,1008 Kerr Street,,Rio Grande:Rio Grande do Sul:Brazil,43042,-30,-53,Davidson@brasiliabike.com,614-759-8634,614-7592673
22,22,Crank Components,Miss Lori McIsaac,(Sales Representative),8030.1075,8001 Oxford Street,,Southampton:Hampshire:England,61870,50.9025,-1.404167,McIsaac@salvadobikestore.com,217-359-3547,217-359-2074
23,23,Corporate Cycle,Mrs. Annie Harper,(Sales Representative),27081.3125,2922 Cambridge Way,,Caracas:Distrito Federal:Venezuela,50392,10.480556,-66.903611,Harper@paradix.com,515-237-9995,515-237-0325
24,24,Pedal Pusher Bikes Inc.,Mr. Tony Garneau,(Sales Associate),39277.3825,4537 Robson Way,Suite 2829,Clearwater:FL:USA,V3C 5U3,27.973611,-82.764167,Garneau@cyclefever.com,604-941-4617,604-941-1657
25,25,Extreme Cycling,Mr. Zach Fabro,(Sales Manager),69819.1,1925 Glenaire Avenue,Suite 2705,Riyadh:Eastern Province:Saudi Arabia,34638,24.633333,46.716667,Fabro@dtom.com,813-539-4247,813-539-5445
26,26,Blazing Saddles,Ms. Trisha Sanders,(Sales Manager),42709.86,4755 Seventieth Street,Suite 206,Wellington:Wellington:New Zealand,53226,-41.288889,174.777222,Sanders@dagcity.com,414-354-0524,414-354-7009
27,27,The Great Bike Shop,Mr. Jon Witt,(Owner),15218.0925,1922 Beach Crescent,Suite 914,Islamabad:Islamabad:Pakistan,35857,33.693056,73.063889,Witt@wnd.com,205-430-1083,205-430-6075
28,28,Pedals Inc.,Miss Patricia Manon,(Sales Manager),5000,8922 Field Street,,Lisbon:Lisbon:Portugal,53795,38.725278,-9.15,Manon@ppb.com,608-273-4233,608-273-7668
29,29,Blazing Bikes,Mr. Gary Campbell,(Sales Associate),19193.6775,5202 Matthew Boulevard,,Winnipeg:MB:Canada,55334,49.884444,-97.146389,Campbell@bft.com,612-947-5737,612-947-5930
30,30,Spokes for Folks,Mr. Brent Lansing,(Owner),47228.6375,2340 Alexander Way,,Hong Kong SAR:Hong Kong SAR:China,08557,22.3,114.2,Lansing@cyclessports.com,609-426-4114,609-426-6467
31,31,To The Limit Biking Co.,Mr. Richard Grewal,(Sales Agent),32487.125,6042 Fell Court,,Kiev:Kiev:Ukraine,83649,50.45,30.523333,Grewal@bikingit.com,208-893-5621,208-893-9208
32,32,Spokes,Mrs. Sheryl Rodgers,(Sales Associate),27154.9,964 Jester Court,Suite 2213,Cambridge:Cambridgeshire:England,60128,52.205,0.1225,Rodgers@crazyw.com,815-756-3253,815-756-5386
33,33,Fulcrum Cycles,Dr. Markus Holt,(Sales Manager),12013.955,170 St. Joseph Boulevard,Suite 2023,Ciudad de Mexico:Distrito Federal:Mexico,22691,19.433333,-99.133333,Holt@hcc.com,540-662-9895,540-662-8254
34,34,Off the Mountain Biking,Ms. Laurie Lee-Johnson,(Sales Manager),25000,192 St. Luke Boulevard,Suite 1724,Luxembourg:Luxembourg:Luxembourg,92725,49.814444,6.131667,Lee-Johnson@bss.com,714-450-3622,714-450-9776
35,35,Mad Mountain Bikes,Miss Tracy Hanna,(Sales Representative),35009.2225,1995 Melbourne Street,Suite 2813,Ashford:Kent:England,83683,51.1465,0.8676,Hanna@galaxy.com,208-893-5874,208-893-2316
36,36,Road Runners Paradise,Mrs. Julia Jackson,(Sales Representative),20747.2375,1053 Adelaide Street,,Berlin:Berlin:Germany,02880,52.52,13.405,Jackson@mindong.com,401-788-3133,401-788-9590
37,37,Has Been Bikes (consignment),Ms. Jane Fasan,(Sales Agent),300,5307 Victoria Avenue,,Düsseldorf:Nordrhein-Westfalen:Germany,02827,51.233333,6.783333,Fasan@aic.com,401-788-2853,401-7889494
38,38,Tyred Out,Mr. Donald Edwards,(Owner),18126.33,3687 Kerrisdale Street,Suite 2115,Castries:Castries:Saint Lucia,92721,14.016667,-60.983333,Edwards@ccsp.com,714-751-5999,714-751-3440
39,39,Wheels Inc.,Mrs. Stacy Bodnar,(Sales Representative),21642.1375,7044 King Georfe Street,Suite 717,Abu Dhabi:Abu Dhabi:United Arab Emirates,50356,24.466667,54.366667,Bodnar@newpeople.com,515-237-9667,515-237-0461
40,40,Cyclist's Trail Co.,Miss Alexa Quartermaine,(Sales Manager),15937.9575,4122 Panorama Place,Suite 2807,Toronto:ON:Canada,48320,43.741667,-79.373333,Quartermaine@globebike.com,810-939-0489,810-939-1611
41,41,Deals on Wheels,Mr. Ron Cunningham,(Sales Manager),11717.235,6073 Cambie Court,Suite 1214,Leeds:West Yorkshire:England,60153,53.7975,-1.543611,Cunningham@haonannu.com,815-756-7678,815-756-4293
42,42,Rad Bikes,Mr. Jerry Esler,(Sales Agent),41954.715,8217 Prince Edward Place,,São Paulo:São Paulo:Brazil,97068,-23.55,-46.633333,Esler@yuexiu.com,503-647-4484,503-647-1117
43,43,Insane Cycle,Miss Nadine Scott,(Owner),8000,5198 Argus Place,,Berlin:Berlin:Germany,19442,52.52,13.405,Scott@jinjing.com,610-941-9254,610-941-1070
44,44,Our Wheels Follow Us Everywhere,Mr. Robert Walter,(Sales Manager),38170.6475,1544 Venus Court,,Birmingham:West Midlands:England,60148,52.4793,-1.9029,Walter@pedales.com,815-756-6823,815-756-6831
45,45,Cycles and Sports,Mr. Zachary Barbera,(Owner),38199.095,2290 Cambie Street,Suite 1025,Huntsville:AL:USA,V6G 4V3,34.693333,-86.560833,Barbera@bsj.com,604-685-0019,604-685-8514
46,46,Backpedal Cycle Shop,Mr. Joe Lee,(Owner),25162.0525,743 Three Rivers Way,Suite 2214,München:Bayern:Germany,19178,48.140833,11.555,Lee@praguesports.com,215-928-1876,215-928-1120
47,47,Karma Bikes,Mr. Kim Karl,(Sales Manager),9000,1516 Ohio Avenue,Suite 2621,Minas Gerais:Belo Horizonte:Brazil,43092,-19.816667,-43.95,Karl@csc.com,614-759-1164,614-759-0518
48,48,Mountain Madmen Bicycles,Mr. Andrew Dong,(Sales Manager),28190.5225,9001 Metro Way,Suite 2010,Singapore:Singapore:Singapore,08513,1.283333,103.833333,Dong@rdsd.com,609-426-7758,609-426-3302
49,49,Rocky Roadsters,Ms. Cindy Forester,(Sales Associate),28681.5275,1430 Hastings Boulevard,,Hamburg:Hamburg:Germany,19440,53.55,10,Forester@sel.com,610-941-1921,610-941-0696
50,50,Crazy Wheels,Mr. Davy Douglas,(Sales Associate),38280.5275,8766 Glenaire Way,,Brown Deer:WI:USA,V3C 2Y8,43.172778,-87.977778,Douglas@cairobicycles.com,604-941-5469,604-941-1976
51,51,Biking's It Industries,Mrs. Katie Cronin,(Sales Representative),30348.92,4643 Camstock Avenue,,Port Coquitlam:BC:Canada,V5C 7Z1,49.2625,-122.781111,Cronin@extercycle.com,604-298-4841,604-298-0157
52,52,"Bikes, Bikes, and More Bikes",Miss Janice Pierson,(Sales Agent),25379.095,3952 Main Street,,Harare:Distrito Federal:Zimbabwe,50344,-17.829167,31.052222,Pierson@lifecycle.com,515-237-8975,515-237-4093
53,53,Rough Terrain,Mr. Matt Trent,(Sales Associate),37488.7475,1502 Nelson Way,Suite 805,Lisbon:Lisbon:Portugal,53730,38.725278,-9.15,Trent@westerly.com,608-273-6250,608-273-1699
54,54,Cyclopath,Mr. Scott Mueller,(Sales Agent),38492.56,647 Panorama Crescent,Suite 107,Milan:Lombardia:Italy,02816,45.466944,9.19,Mueller@donview.com,401-788-2360,401-788-8808
55,55,Tandem Cycle,Mr. Gordon Bell,(Sales Agent),29404.385,7040 Park Place,Suite 1407,Bournemouth:Dorset:England,83650,50.72001,-1.87995,Bell@tomsbikes.com,208-893-0312,208-893-3282
56,56,On The Edge Cyclery,Mr. Douglas McDougall,(Owner),9751.45,2145 Boardwalk,Suite 1214,Rome:Lazio:Italy,02896,41.893333,12.482778,McDougall@mks.com,401-788-7227,401-788-5215
57,57,Tek Bikes,Miss Elizabeth Kawa,(Sales Agent),301568.22,8018 Meacon Crescent,Suite 2607,Düsseldorf:Nordrhein-Westfalen:Germany,19144,51.233333,6.783333,Kawa@wheel.com,215-928-6658,215-928-4038
58,58,Making Tracks,Mrs. Rosie Forbes,(Sales Associate),32249.545,5511 Ocean Road,,Manchester:Greater Manchester:England,01767,51.507222,-0.1275,Forbes@greatoutdoors.com,508-287-1664,508-287-2802
59,59,The Biker's Path,Miss Donna Marshall,(Sales Agent),29036.5725,3519 Beacon Avenue,Suite 2909,Sunderland:Co Durham:England,60152,54.906,-1.381,Marshall@bbs.com,815-756-4084,815-756-9795
60,60,Bikes for Tykes,Mr. Dave Elkins,(Sales Manager),1800,7949 Elm Boulevard,Suite 3012,Madison:WI:USA,V6E 2S5,43.074722,-89.384167,Elkins@picadillycycle.com,604-681-9443,604-681-5300
61,61,Benny - The Spokes Person,Miss Caitlin Jones,(Sales Agent),6091.96,1020 Oak Way,Suite 1711,Manila:Manila Metropolitan Area:Philippines,35861,14.5958,120.9772,Jones@lifecycle.com,205-430-3670,205-430-6031
62,62,Bike Shop from Mars,Mr. John MacCloud,(Sales Manager),25873.245,7071 Dundas Crescent,Suite 1730,Ulaanbaatar:Ulaanbaatar:Mongolia,91338,47.920278,106.917222,MacCloud@hitdirt.com,805-375-0110,805-375-6707
63,63,Feel Great Bikes Inc.,Mr. Craig Jacobson,(Sales Representative),40944.4655,3015 Delta Place,Suite 2601,Ottawa:ON:Canada,55367,45.424722,-75.695,Jacobson@sunrise.com,612-947-1362,612-947-3253
64,64,SAB Mountain,Mr. Claus Main,(Owner),401000,Hauptstr. 29,,Prague:Prague:Czech Republic,CH-3006,50.0875,14.421389,Main@sourceone.com,41 45-207-65-45,41 045-207-65-46
65,65,Platou Sport,Mr. Jonas Bergulfsen,(Owner),201000,Erling Skakkes gate 78,,Melbourne:Victoria:Australia,N-3290,-37.814167,144.963056,Bergulfsen@helsinkibicycle.com,47-22-323-023,47-22-356-442
66,66,Piccolo,Mr. Georg Pipps,(Sales Manager),201000,Geislweg 14,,Newbury Park:CA:USA,A-5020,34.183889,-118.9525,Pipps@lillevtt.com,43-662-972262,43-62-972345
67,67,Paris Mountain Sports,Mrs. Marie Bertrand,(Owner),300000,"265, boulevard Charonne",,Le Havre:Haute Normandie:France,75012,49.49,0.1,Bertrand@toulousevelos.com,33-4-92-72-04-89,33-4-92-72-04-98
68,68,Magazzini,Mr. Giovanni Rovelli,(Sales Manager),201000,Via Ludovico il Moro 22,Suite 25,Washington:DC:USA,24100,46.73,-117.16,Rovelli@sportscenterville.com,39-81-9444-0922,39-81-9444-0934
69,69,Furia,Mr. Lino Rodriguez,(Sales Manager),201000,Jardim das rosas n. 32,,Road Town:Tortola:British Virgin Islands,1900,18.431389,-64.623056,Rodriguez@lourdessport.com,351-1-35-42-534,351-1-35-42-566
70,70,Folk och fä HB,Mrs. Marie Larsson,(Owner),201000,Åkergatan 24,,San José:San José:Costa Rica,S-844 67,9.9325,-84.08,Larsson@parismountain.com,069-53-46721,069-53-46133
71,71,BBS Pty,Miss Victoria Ashworth,(Sales Representative),500000,45 Fauntleroy Circus,,Philadelphia:PA:USA,EC2 5NT,51.507222,-0.1275,Ashworth@gagnersports.com,44-171-551-1212,44-171-551-1321
72,72,Cycle City Rome,Mr. Paolo Accorti,(Sales Representative),201000,Via Monte Bianco 34,,Atlanta:GA:USA,10100,33.748889,-84.39,Accorti@francesports.com,39-2-4242-4995,39-2-4242-4999
73,73,Tienda de Bicicletas El Pardo,Ms. Alejandra Camino,(Sales Manager),201000,"Gran Vía, 1",,Santo Domingo:Santo Domingo:Dominican Republic,28001,18.466667,-67.95,Camino@sportsbeaucharmp.com,34-91-7456200,34-91-7456210
74,74,Fahrkraft Räder,Mr. Sven Hoffman,(Sales Representative),500000,Heinrich-Held-Str. 190,,Grenoble:Rhône-Alpes:France,D-53001,45.171546,5.722387,Hoffman@centresportif.com,49-0777-9042-53,49-0777-9042-10
75,75,     Belgium Bike         Co.,Mr. Pierre Renault,(Sales Representative),200000,Auguste Demaeghtlaan 9823,,Concord:MA:USA,47899,43.206667,-71.538056,Renault@calaiscyclisme.com,32-3-390-893,32-3-390-801
76,76,Canal City Cycle,Mr. Sven Vandervoort,(Sales Agent),100000,13300 Damrak Street,Suite 2210,Pierre:SD:USA,NL-1076,44.374722,-100.320556,Vandervoort@velosbasse.com,31-20-4043-4011,31-20-4043-4788
77,77,"Warsaw Sports, Inc.",Mr. Pavel Ropoleski,(Owner),100000,ul. Nowogrodzka 94/96,,Santiago:Providencia:Chile,02-537,-33.4375,-70.65,Ropoleski@bicyclettedunord.com,48-12-2323-2995,48-12-2323-2934
78,78,Greenlane Bicycles,Mr. Hank Binford,(Sales Representative),90000,41 King Street,,Little Rock:AR:USA,,34.693333,-86.560833,Binford@boedeauxsports.com,353-03-9443-4343,353-03-9443-4334
79,79,Helsinki Bicycle,Mr. Klaus Fostell,(Owner),668.9,Kalevankatu 346,,Stavanger:Rogaland:Norway,4344,58.97,5.731389,Fostell@sudcycles.com,358-9-2433-0332,358-9-2433-0337
80,80,France Sports,Mr. Claude Houle,(Sales Representative),7544.4,"95, rue de la Fontaine",,Madrid:Madrid:Spain,50100,40.416944,-3.703333,Houle@velosbernard.com,33-2-10-39-34-89,33-2-10-39-34-33
81,81,Centre Sportif Cherbourg,Mr. Georges Lasalle,(Sales Manager),16112.7,"918, rue Belle-vue",,Helsinki:Uusimaa:Finland,76610,60.170833,24.9375,Lasalle@bmx.com,33-2-32-49-58-05,33-2-32-49-58-33
82,82,Vélos Basse Normandie,Mr. Marc Gaucher,(Owner),1073.8,"75, rue Haute",,Torino:Piedmonte:Italy,14000,45.079167,7.676111,Gaucher@sportsfrance.com,33-2-32-93-03-07,33-2-32-93-03-10
83,83,Calais Cyclisme,Mrs. Michelle Laviolette,(Owner),1799.7,"7, rue du Cimetiere",,Amiens:Picardie:France,62100,49.892,2.299,Laviolette@sportsalsace.com,33-2-63-07-93-01,33-2-63-07-93-01
84,84,Lille VTT,Ms. Suzanne LeClair,(Sales Manager),3371.72,"165, rue de l'Eglise",,Strasbourg:Alsace:France,59000,,,LeClair@centresportif.com,33-2-59-50-30-21,33-2-59-50-30-22
85,85,Bicyclette du Nord,Ms. Elise Marchand,(Owner),8819.55,"16, rue des Chevaliers",,Rouen:Haute Normandie:France,62000,,,Marchand@velosemile.com,33-2-11-98-87-34,33-2-11-98-87-39
86,86,Sports 4-Saisons,Ms. Manon Pedneault,(Owner),1191.4,"402, rue Prince Geroges",Bâtiment B,Metz:Lorraine:France,59140,49.120278,6.177778,Pedneault@laplace.com,33-2-33-09-02-76,33-2-33-09-02-72
87,87,La Place,Mr. Jules Davignion,(Sales Representative),1611.7,"42, rue de l'Eurpoe",,Cherbourg:Basse Normandie:France,76100,49.63,-1.62,Davignion@velosferrier.com,33-2-23-40-20-04,33-2-23-40-23-90
88,88,Vélos Emile,Mr. Emile Laroche,(Sales Manager),4366.5,"56, rue des Foyers",,Chartres:Centre:France,80080,48.456,1.484,Laroche@auvergnebicross.com,33-2-25-30-39-30,33-2-25-30-32-00
89,89,Centre Sportif Delormier,Mr. Réal Delormier,(Owner),6713.5,"40, avenue Bernard",,Lille:Nord Pas-de-Calais:France,57050,,,Delormier@sportsfontainebleau.com,33-3-77-93-38-99,33-3-77-93-38-10
90,90,Sports Alsace,Mr. Thomas Monpetit,(Sales Manager),52787.5,"11, rue Clemenceau",2ème étage,Paris:Ile de France:France,67100,,,Monpetit@orleansvtt.com,33-3-29-92-29-29,33-3-29-92-29-31
91,91,Vélos Ferrier,Mrs. Veronique Ferrier,(Owner),2229.5,"187, rue de l'Ecole",,Amsterdam:Noord Holland:Netherlands,28000,52.372778,4.893611,Ferrier@dijonsudvelos.com,33-4-94-56-53-90,33-4-94-62-33-90
92,92,Sports Fontainebleau,Ms. Anne DuPont,(Owner),3131.36,"8, rue des Romains",,Caen:Basse Normandie:France,77300,,,DuPont@mulhousevelos.com,33-1-73-03-47-93,33-1-73-03-47-93
93,93,BMX Orléans,Miss Celeste Oulette,(Sales Representative),5438.7,"37, rue du Bois",,Warsaw:Warsaw:Poland,45100,52.23,21.011111,Oulette@bicyclettebourgesnord.com,33-2-64-87-66-88,33-2-64-87-66-90
94,94,Orléans VTT,Mr. Christophe Jolicoeur,(Sales Manager),6655.9,"53, rue St-Paul",,Dublin:Dublin:Ireland,10000,53.35,-6.260278,Jolicoeur@vtt.com,33-1-34-44-76-01,33-1-34-44-76-05
95,95,Dijon Sud Vélos,Ms. Suzette Ganger,(Sales Manager),1149.15,"82, chemin des Champs",,Bonn:Nordrhein-Westfalen:Germany,21000,,,Ganger@arsenault.com,33-3-55-04-05-09,33-3-55-04-05-33
96,96,Mulhouse Vélos,Mr. Vincent de la Montagne,(Owner),5359.7,4 avenue de la Liberation,,Salzburg:Salzkammergut:Austria,68100,47.8,13.045,de la Montagne@centrepoirot.com,33-4-32-00-98-87,33-4-32-00-98-88
97,97,Bicyclette Bourges Nord,Mr. Rejean Lallier,(Owner),2099.25,"79, avenue de la Gare",,Brussels:Brussels:Belgium,18000,50.846667,4.3525,Lallier@sports4saisons.com,33-4-10-92-09-09,33-4-10-92-09-33
98,98,VTT La Rochelle,Mr. Jean Larouche,(Sales Manager),1079.7,"41, rue de Lormier",,Fontainebleau:Île-de-France:France,17000,,,Larouche@berlinbiking.com,33-3-54-92-84-98,33-3-54-92-84-34
99,99,Bordeaux Sports,Mr. Gerard LePage,(Sales Representative),533.75,"120, avenue des Pins",,Bergamo:Lombardia:Italy,33100,45.695,9.67,LePage@bergtrails.com,33-5-34-42-94-09,33-5-34-42-94-22
100,100,Arsenault et Maurier,Mr. Gaston Arsenault,(Sales Representative),12535.7,"40, rue St-Charles",,Bräcke:Jaemtland:Sweden,63000,63.283062,14.238281,Arsenault@fahrkraftrader.com,33-4-22-90-45-90,33-4-22-90-45-33
101,101,Auvergne Bicross,Ms. Yolande Lafleur,(Sales Manager),5179.98,"43, rue des Arbres",,London:Greater London:England,03200,51.507222,-0.1275,Lafleur@hamburgrader.com,33-1-22-03-50-90,33-1-22-03-53-85
102,102,Centre Poirot,Mrs. Julie-Anne Poirot,(Owner),3653.65,"10, rue Principale",9ème étage,Bourges:Centre:France,69009,47.0844,2.3964,Poirot@dortmondrad.com,33-4-11-19-10-49,33-4-11-19-10-57
103,103,Sports France,Mr. Gétan Faucher,(Owner),6588.7,"40, rue de la Chapelle",,Mulhouse:Alsace:France,38000,47.75,7.34,Faucher@offroadbike.com,33-4-22-40-09-02,33-4-22-40-09-33
104,104,Sud Cycles,Ms. Annette Denault,(Owner),68000.5,"34, rue. du Moulin",,La Rochelle:Poitou Charentes:France,42007,46.16,-1.15,Denault@leipzigfreiheit.com,33-1-53-03-05-08,33-1-53-03-05-24
105,105,Toulouse Vélos,Mr. Jean-Paul Voltaire,(Sales Manager),46479.85,"63, rue de Soleuvre",,Dunkerque:Nord Pas-de-Calais:France,31100,51.042222,2.553056,Voltaire@superbike.com,33-5-21-07-45-97,33-5-21-07-45-98
106,106,Sports Centre-ville,Ms. Louise Lacasse,(Sales Representative),65005,"11, boulevard Henri",,Calais:Nord Pas-de-Calais:France,34000,50.948056,1.856389,Lacasse@athensbicycle.com,33-4-23-44-09-98,33-4-23-44-09-31
107,107,Lourdes Sports,Mr. Henri De Montigny,(Sales Manager),53370.14,"54, avenue Pierre",,Lisbon:Lisbon:Portugal,65100,38.725278,-9.15,De Montigny@eastbudapestsports.com,33-5-92-28-02-33,33-5-92-28-02-38
108,108,Gagner Sports,Mr. Claude Antoine,(Sales Representative),5155.4,"71, rue du Chateau",,Troyes:Champagne-Ardenne:France,13010,48.2997,4.0792,Antoine@indiacycle.com,33-4-92-03-77-03,33-4-92-03-77-44
109,109,Vélos Bernard,Ms. Marie Cloutier,(Owner),8933.9,"145, rue Francois",,Dijon:Bourgogne:France,83000,47.316667,5.016667,Cloutier@jakartasunrise.com,33-4-55-56-58-00,33-4-55-56-59-90
110,110,Sports Beauchamp,Mr. Daniel Beauchamp,(Sales Manager),9557.02,"81, rue des Roses",,Orléans:Centre:France,06400,47.9025,1.909,Beauchamp@hillcrestcycle.com,33-4-22-58-68-40,33-4-22-58-68-41
111,111,Bikefest,Mr. Stan Delaware,(Sales Agent),5879.7,4301 President Way,4th Floor,Managua:Managua:Nicaragua,72206,12.136389,-86.251389,Delaware@greenlane.com,520-990-8264,520-990-8260
112,112,Biking and Hiking,Mr. Ukariah Jonstone,(Owner),65.7,76 Palm Drive,,Wellington:Wellington:New Zealand,85018,-41.288889,174.777222,Jonstone@dublincycle.com,520-710-1010,520-605-8914
113,113,Bicycle Races,Mr. Seth Smithers,(Owner),659.7,3100 West Cactus Drive,14th Floor,Kathmandu:Kathmandu:Nepal,85234,27.71,85.32,Smithers@teavivoutdoors.com,602-494-2992,602-494-3992
114,114,Fred's Bikes,Mr. Fred Danforth,(Owner),7874.25,4104 Summit Boulevard,,Pretoria:Gauteng (PWV):South Africa,80237,-25.746111,28.188056,Danforth@magazzini.com,303-556-2030,303-556-3030
115,115,Phil's Bikes,Mr. Phil Franklyn,(Owner),27,31 Government Street,,Ankara:Ankara:Turkey,05667,39.93,32.85,Franklyn@bresciamountainers.com,860-479-0191,860-450-1030
116,116,Colin's Bikes,Mr. Colin White,(Sales Agent),40.5,30988 Federal Way,,Moscow:Moscow:Russia,20011,55.755833,37.617222,White@milanobike.com,202-975-1567,202-979-1200
117,117,Barry's Bikes,Mr. Barry Wilcox,(Owner),33.9,2099 East 57th Avenue,,Singapore:Singapore:Singapore,19850,1.283333,103.833333,Wilcox@cyclerome.com,302-310-1010,302-310-1016
118,118,Tony's Better Bikes,Mr. Anthony Weatherhead,(Owner),2735.25,320 Oliver Avenue East,,Bangkok:Bangkok:Thailand,30337,3.7525,100.494167,Weatherhead@islandbike.com,678-381-9020,678-382-0404
119,119,Ride Down A Mountain,Ms. Janet Xavier,(Sales Agent),1570.08,5400 Cliff Avenue,,Edinburgh:Lothian:Scotland,64152,55.948611,-3.200833,Xavier@yokohamabiking.com,913-943-3044,913-944-8922
120,120,Bikes R Us,Mr. Wil Do,(Sales Agent),8159.4,201 Lloyd Drive,,Dublin:Dublin:Ireland,40503,53.35,-6.260278,Do@.com@nogoya.com,606-771-9020,606-772-9020
121,121,Caledonia Cycle,Mr. Martin Caledonia,(Owner),27,4302 233rd Street West,,Belfast:County Antrim:Northern Ireland,70121,54.596389,-5.93,Caledonia@totoryken.com,318-669-2323,318-668-2323
122,122,First Gear,Miss Xena Renfrew,(Owner),2826.9,329 Fernando Court,,Exeter:Devon:England,21228,50.725556,-3.526944,Renfrew@nishmotosports.com,301-233-9010,301-233-7402
123,123,One Track Mind,Mr. Gordy Camel,(Sales Agent),46.5,776 Castle Road,Suite 100,London:Greater London:England,04401,51.507222,-0.1275,Camel@bendaimountain.com,207-881-7293,207-881-2990
124,124,Biking Heaven,Ms. Jules Renquist,(Sales Agent),11553,870 Oriole Drive East,,Shanghai:Shanghai:China,63119,31.228611,121.474722,Renquist@nairobisports.com,314-201-2044,314-201-2045
